"","VariablestoKeep"
"1","V9_1_Ref"
"2","V9_3"
"3","V9_4"
"4","V19_1_Ref"
"5","V26_0"
"6","V26_1_Ref"
"7","V26_2"
"8","V27_0"
"9","V27_1_Ref"
"10","V27_2"
"11","V30_0"
"12","V30_1_Ref"
"13","V31_0"
"14","V31_1_Ref"
"15","V32_0"
"16","V32_1_Ref"
"17","V33_0"
"18","V33_1_Ref"
"19","V34_0"
"20","V34_1_Ref"
"21","V37_1_Ref"
"22","V40_1_Ref"
"23","V41_1_Ref"
"24","V43_1_Ref"
"25","V44_1_Ref"
"26","V75_1_Ref"
"27","V76_1_Ref"
"28","V45_1_Ref"
"29","V49_1_Ref"
"30","V51_1_Ref"
"31","V51_2"
"32","V51_3"
"33","V51_4"
"34","V52_1_Ref"
"35","V53_1_Ref"
"36","V53_2"
"37","V53_3"
"38","V53_4"
"39","V85_3"
"40","V86_3"
"41","V87_2"
"42","V87_3"
"43","V88_2"
"44","V88_3"
"45","V89_3"
"46","V110_1_Ref"
"47","V110_2"
"48","V110_3"
"49","V110_4"
"50","V111_1_Ref"
"51","V111_2"
"52","V111_3"
"53","V111_4"
"54","V115_1_Ref"
"55","V115_3"
"56","V115_4"
"57","V116_1_Ref"
"58","V116_2"
"59","V116_4"
"60","V117_1_Ref"
"61","V117_2"
"62","V117_3"
"63","V117_4"
"64","V122_1_Ref"
"65","V122_2"
"66","V122_3"
"67","V122_4"
"68","V123_1_Ref"
"69","V123_2"
"70","V123_3"
"71","V123_4"
"72","V124_4"
"73","V222_1_Ref"
"74","V222_2"
"75","V222_4"
"76","V222_5"
"77","V223_1_Ref"
"78","V223_2"
"79","V223_4"
"80","V223_5"
"81","V225_1_Ref"
"82","V225_3"
"83","V226_1_Ref"
"84","V226_2"
"85","V226_3"
"86","V227_1_Ref"
"87","V227_2"
"88","V227_3"
"89","V146_1_Ref"
"90","V150_3"
"91","V150_4"
"92","V151_3"
"93","V151_4"
"94","V153_1_Ref"
"95","V153_4"
"96","V106_2"
"97","V106_3"
"98","V106_4"
"99","V107_2"
"100","V107_3"
"101","V107_4"
"102","V212_2"
"103","V213_2"
"104","V214_2"
"105","V243_1_Ref"
"106","V244_1_Ref"
"107","V179_1_Ref"
"108","V180_1_Ref"
"109","V181_1_Ref"
"110","V181_4"
"111","V182_1_Ref"
"112","V182_4"
"113","V183_1_Ref"
"114","V183_2"
"115","V183_3"
"116","V183_4"
"117","V184_1_Ref"
"118","V184_2"
"119","V184_3"
"120","V184_4"
"121","V185_1_Ref"
"122","V185_3"
"123","V185_4"
"124","V188_3"
"125","V188_4"
"126","V190_3"
"127","V190_4"
"128","V99_Low"
"129","V100_Low"
"130","V200_Med"
"131","V202_Med"
"132","V203_Very Low_Ref"
"133","V203_ Very High"
"134","V204_ Very High"
"135","V205_ Very High"
"136","V206_ Very High"
