Country.Code,Country.Name,RE_Generation,Region,Wind,Solar,Tidal,BioEnergy,Geothermal
156,China,3.563043014,CHN,35,11271,,37,
344,"Hong Kong SAR, China",0.234963606,CHN,35,11271,,37,
233,Estonia,10.79234973,EEU,5.85,7,,7,
616,Poland,11.14750374,EEU,5.85,7,,7,
642,Romania,8.869755364,EEU,5.85,7,,7,
705,Slovenia,3.03030303,EEU,5.85,7,,7,
51,Armenia,0.051880674,FSU,86.1,8587,,117,
31,Azerbaijan,0.295452599,FSU,86.1,8587,,117,
112,Belarus,0.406258927,FSU,86.1,8587,,117,
268,Georgia,0,FSU,86.1,8587,,117,
398,Kazakhstan,0.006291419,FSU,86.1,8587,,117,
417,Kyrgyz Republic,0,FSU,86.1,8587,,117,
643,Russian Federation,0.045953579,FSU,86.1,8587,,117,
804,Ukraine,0.676282614,FSU,86.1,8587,,117,
860,Uzbekistan,0,FSU,86.1,8587,,117,
32,Argentina,2.123287179,LAC,268,28831,,210,
76,Brazil,8.244364218,LAC,268,28831,,210,
152,Chile,9.820624878,LAC,268,28831,,210,
170,Colombia,3.14442074,LAC,268,28831,,210,
218,Ecuador,1.526290898,LAC,268,28831,,210,
604,Peru,1.482557469,LAC,268,28831,,210,
780,Trinidad and Tobago,0,LAC,268,28831,,210,
858,Uruguay,10.51277654,LAC,268,28831,,210,
368,Iraq,0,MEE,6.4,22716,,5,
400,Jordan,0.052134623,MEE,6.4,22716,,5,
422,Lebanon,0,MEE,6.4,22716,,5,
458,Malaysia,0.925925926,MEE,6.4,22716,,5,
887,"Yemen, Rep.",0,MEE,6.4,22716,,5,
12,Algeria,0,NAF,28.3,48709,,12,
434,Libya,0,NAF,28.3,48709,,12,
504,Morocco,5.302731927,NAF,28.3,48709,,12,
788,Tunisia,2.007507753,NAF,28.3,48709,,12,
410,"Korea, Dem. People’s Rep.",0,OAE,2.9,4526,,12,
36,Australia,7.405422612,OCN,302.3,55501,,40,
392,Japan,6.558476382,JPN,3.9,10,,3,
554,New Zealand,23.22638433,OCN,302.3,55501,,40,
484,Mexico,4.461670572,LAC,268,28831,,210,
608,Philippines,13.09223288,PAS,13.1,645,,52,
702,Singapore,1.544908682,PAS,13.1,645,,52,
764,Thailand,5.04444592,PAS,13.1,645,,52,
710,South Africa,0.228285254,SAF,46.2,21827,,51,
716,Zimbabwe,0.495623748,SAF,46.2,21827,,51,
356,India,4.984918055,IND,0.1,1756,,12,
586,Pakistan,0,OSA,0.1,3171,,5,
840,United States,6.858441618,USA,209.35,11360,,48,
288,Ghana,0.023308212,WCA,80.8,45614,,84,
566,Nigeria,0,WCA,80.8,45614,,84,
196,Cyprus,7.622377622,WEU,105.35,664,,25,
276,Germany,23.02088193,WEU,105.35,664,,25,
528,Netherlands,11.2450857,WEU,105.35,664,,25,
724,Spain,25.86967871,WEU,105.35,664,,25,
752,Sweden,13.20486618,WEU,105.35,664,,25,
792,Turkey,4.639527223,WEU,105.35,664,,25,
